,status,fronds.new,fronds.old,fronds.ratio,min,species,dbh,nw.tree.01,nw.tree.02,nw.tree.03,nw.tree.04,nw.tree.05,sw.tree.06,sw.tree.07,sw.tree.08,sw.tree.09,sw.tree.10,sw.tree.11,sw.tree.12,ne.tree.13,ne.tree.14,ne.tree.15,se.tree.16,se.tree.17,sw.tree.20,sw.tree.21,sw.tree.22,sw.tree.23,sw.tree.24,sw.tree.25,se.log.01.eastTip,nw.log.02.southButt,smaller.doug.fir.log
nw.deadFern.68,dead,NA,NA,NA,13.19,THPL,92.5,21.9,38,54.43,60.99,63.37,52.02,69.58,73.32,64.53,61.37,66.14,63.52,13.19,20.96,18.63,27.62,37.89,57.44,54.62,67.46,71.07,64.68,71.59,56.03,49.91,30.44
nw.deadFern.70,dead,NA,NA,NA,16.94,THPL,92.5,20.12,35.88,51.78,59.53,62.12,53.63,71.61,74.85,65.65,61.91,65.99,63.74,16.94,23.95,22.28,31.36,41.37,61.07,58.26,71.06,74.82,68.41,75.33,58.47,48.39,28.79
nw.deadFern.3,dead,NA,NA,NA,14.33,THPL,92.5,17.9,34.13,51.14,56.47,58.71,47.4,65.28,68.66,59.66,56.35,61.1,58.46,14.33,24.47,20.47,27.75,40.09,58.87,56,66.14,71.31,65.34,71.91,52.15,45.45,34.97
nw.deadFern.10,dead,NA,NA,NA,11.44,THPL,92.5,20.07,36.18,53.62,57.52,59.51,45.04,62.49,66.36,57.79,55.12,60.62,57.59,11.44,22.91,17.75,24.12,37.32,55.61,52.72,62.23,67.61,61.78,68.24,48.98,46.67,35.18
nw.deadFern.5,dead,NA,NA,NA,12.67,THPL,92.5,19.75,35.37,53.2,55.48,57.23,40.93,58.36,62.25,53.79,51.4,57.32,54.05,12.67,25.23,18.86,23.23,37.96,55.31,52.4,59.64,66.2,60.75,66.9,44.94,44.84,32.27
nw.deadFern.15,dead,NA,NA,NA,13.72,THPL,92.5,24.26,38.72,56.84,56.49,57.75,35.93,52.53,57.17,49.52,48.31,55.49,51.55,13.72,26.72,18.79,19.53,36.12,51.72,48.81,53.29,61.06,56.13,61.84,38.6,46.39,25.75
nw.deadFern.69,dead,NA,NA,NA,15.3,ACMA,54.8,15.3,31.33,47.79,54.59,57.1,49.46,67.8,70.55,61.07,57.02,60.9,58.73,18.45,27.57,24.43,32.12,43.98,63.04,60.18,70.44,75.69,69.68,76.29,55.2,43.47,33.36
nw.deadFern.8,dead,NA,NA,NA,13.73,ACMA,54.8,13.73,29.96,47.04,52.41,54.74,45.88,64.26,66.98,57.52,53.6,57.78,55.43,18.18,28.64,24.42,30.97,44.04,62.51,59.63,68.21,74.36,68.63,75.01,51.79,41.37,36.89
nw.deadFern.7,dead,NA,NA,NA,15.22,ACMA,54.8,15.22,31.43,48.67,53.48,55.7,45.19,63.36,66.37,57.14,53.56,58.13,55.58,16.44,27.26,22.72,29.1,42.32,60.69,57.8,66.42,72.48,66.76,73.13,50.63,42.5,37.3
nw.deadFern.6,dead,NA,NA,NA,15.26,ACMA,54.8,15.26,31.06,48.78,51.93,53.89,41.41,59.54,62.62,53.51,50.23,55.27,52.45,16.57,28.5,22.87,27.78,42.23,59.83,56.92,63.71,70.71,65.3,71.42,46.85,41.11,36.18
