Photo file Name,Date,Time,Direction,Latitude,Longitude,Position Accuracy,Altitude,Datum,Capture Mode Detail,Project Name,Photo Description,Watermark
Test 1 (2020-01-19 14.44.55)-120,19 Jan 2020,14:44:55,174,47.560790°,-122.254123° ,±52ft,15.733339,WGS 84,Bearing: 174° S,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.45.02)-31,19 Jan 2020,14:45:2,235,47.560820°,-122.254100° ,±52ft,15.651285,WGS 84,Bearing: 235° SW,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.45.05)-107,19 Jan 2020,14:45:5,332,47.560837°,-122.254075° ,±52ft,15.596938,WGS 84,Bearing: 332° NW,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.45.13)-89,19 Jan 2020,14:45:13,126,47.560843°,-122.254006° ,±52ft,15.796592,WGS 84,Bearing: 126° SE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.45.16)-156,19 Jan 2020,14:45:16,192,47.560842°,-122.254011° ,±52ft,15.822201,WGS 84,Bearing: 192° S,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.45.22)-114,19 Jan 2020,14:45:22,153,47.560832°,-122.254012° ,±52ft,15.865736,WGS 84,Bearing: 153° SE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.45.26)-236,19 Jan 2020,14:45:26,20,47.560841°,-122.254025° ,±52ft,15.746199,WGS 84,Bearing: 20° N,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.45.30)-241,19 Jan 2020,14:45:30,59,47.560847°,-122.254010° ,±52ft,15.763320,WGS 84,Bearing: 59° NE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.45.34)-132,19 Jan 2020,14:45:34,73,47.560839°,-122.253999° ,±52ft,15.835631,WGS 84,Bearing: 73° E,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.45.37)-72,19 Jan 2020,14:45:37,63,47.560822°,-122.253974° ,±52ft,16.058237,WGS 84,Bearing: 63° NE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.45.41)-65,19 Jan 2020,14:45:41,38,47.560825°,-122.253965° ,±52ft,16.088737,WGS 84,Bearing: 38° NE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.45.45)-220,19 Jan 2020,14:45:45,316,47.560865°,-122.253898° ,±52ft,16.064722,WGS 84,Bearing: 316° NW,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.45.49)-247,19 Jan 2020,14:45:49,48,47.560869°,-122.253894° ,±52ft,16.028671,WGS 84,Bearing: 48° NE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.45.52)-109,19 Jan 2020,14:45:52,44,47.560867°,-122.253898° ,±52ft,16.028585,WGS 84,Bearing: 44° NE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.45.55)-205,19 Jan 2020,14:45:55,63,47.560866°,-122.253895° ,±52ft,16.045864,WGS 84,Bearing: 63° NE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.46.00)-108,19 Jan 2020,14:46:0,186,47.560864°,-122.253898° ,±52ft,16.049829,WGS 84,Bearing: 186° S,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.46.04)-75,19 Jan 2020,14:46:4,115,47.560865°,-122.253909° ,±52ft,16.031006,WGS 84,Bearing: 115° SE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.46.07)-33,19 Jan 2020,14:46:7,138,47.560854°,-122.253908° ,±52ft,16.039305,WGS 84,Bearing: 138° SE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.46.11)-13,19 Jan 2020,14:46:11,92,47.560827°,-122.253880° ,±52ft,16.260035,WGS 84,Bearing: 92° E,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.46.14)-121,19 Jan 2020,14:46:14,108,47.560814°,-122.253870° ,±52ft,16.428467,WGS 84,Bearing: 108° E,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.46.17)-168,19 Jan 2020,14:46:17,70,47.560813°,-122.253872° ,±52ft,16.441130,WGS 84,Bearing: 70° E,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.46.23)-32,19 Jan 2020,14:46:23,245,47.560813°,-122.253873° ,±52ft,16.443714,WGS 84,Bearing: 245° SW,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.46.26)-81,19 Jan 2020,14:46:26,121,47.560811°,-122.253877° ,±52ft,16.455206,WGS 84,Bearing: 121° SE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.46.34)-190,19 Jan 2020,14:46:34,188,47.560813°,-122.253950° ,±52ft,16.303226,WGS 84,Bearing: 188° S,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.46.42)-70,19 Jan 2020,14:46:42,45,47.560806°,-122.253961° ,±52ft,16.222958,WGS 84,Bearing: 45° NE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.46.46)-127,19 Jan 2020,14:46:46,100,47.560806°,-122.253958° ,±52ft,16.239374,WGS 84,Bearing: 100° E,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.46.50)-242,19 Jan 2020,14:46:50,128,47.560778°,-122.253962° ,±52ft,16.395676,WGS 84,Bearing: 128° SE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.46.57)-213,19 Jan 2020,14:46:57,141,47.560697°,-122.253984° ,±52ft,16.854502,WGS 84,Bearing: 141° SE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.47.00)-6,19 Jan 2020,14:47:0,47,47.560670°,-122.253994° ,±52ft,17.068159,WGS 84,Bearing: 47° NE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.47.03)-56,19 Jan 2020,14:47:3,32,47.560668°,-122.253993° ,±52ft,17.118034,WGS 84,Bearing: 32° NE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.47.06)-238,19 Jan 2020,14:47:6,48,47.560669°,-122.253993° ,±52ft,17.111515,WGS 84,Bearing: 48° NE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.47.09)-123,19 Jan 2020,14:47:9,47,47.560665°,-122.253997° ,±52ft,17.110359,WGS 84,Bearing: 47° NE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.47.14)-96,19 Jan 2020,14:47:14,6,47.560668°,-122.253998° ,±52ft,17.088810,WGS 84,Bearing: 6° N,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.47.17)-251,19 Jan 2020,14:47:17,203,47.560663°,-122.253997° ,±52ft,17.116968,WGS 84,Bearing: 203° SW,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.47.20)-90,19 Jan 2020,14:47:20,68,47.560662°,-122.254001° ,±52ft,17.127939,WGS 84,Bearing: 68° E,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.47.27)-249,19 Jan 2020,14:47:27,329,47.560684°,-122.253993° ,±52ft,17.013109,WGS 84,Bearing: 329° NW,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.47.31)-144,19 Jan 2020,14:47:31,265,47.560701°,-122.253967° ,±52ft,16.983175,WGS 84,Bearing: 265° W,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.47.35)-67,19 Jan 2020,14:47:35,295,47.560711°,-122.253955° ,±52ft,16.883171,WGS 84,Bearing: 295° NW,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.48.17)-179,19 Jan 2020,14:48:17,191,47.560797°,-122.254206° ,±52ft,15.404264,WGS 84,Bearing: 191° S,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.48.21)-243,19 Jan 2020,14:48:21,180,47.560801°,-122.254231° ,±52ft,15.345503,WGS 84,Bearing: 180° S,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.48.26)-53,19 Jan 2020,14:48:26,176,47.560792°,-122.254253° ,±26ft,15.231773,WGS 84,Bearing: 176° S,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.48.30)-91,19 Jan 2020,14:48:30,261,47.560788°,-122.254266° ,±26ft,15.223369,WGS 84,Bearing: 261° W,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.49.00)-3,19 Jan 2020,14:49:0,136,47.560736°,-122.254284° ,±26ft,15.400962,WGS 84,Bearing: 136° SE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.49.04)-165,19 Jan 2020,14:49:4,133,47.560738°,-122.254279° ,±26ft,15.440515,WGS 84,Bearing: 133° SE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.49.07)-167,19 Jan 2020,14:49:7,98,47.560734°,-122.254277° ,±26ft,15.462437,WGS 84,Bearing: 98° E,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.49.48)-154,19 Jan 2020,14:49:48,295,47.560654°,-122.254103° ,±39ft,16.744677,WGS 84,Bearing: 295° NW,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.49.51)-145,19 Jan 2020,14:49:51,278,47.560656°,-122.254097° ,±39ft,16.880274,WGS 84,Bearing: 278° W,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.49.54)-110,19 Jan 2020,14:49:54,77,47.560652°,-122.254091° ,±39ft,16.823534,WGS 84,Bearing: 77° E,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.50.00)-117,19 Jan 2020,14:50:0,42,47.560640°,-122.254080° ,±52ft,16.988462,WGS 84,Bearing: 42° NE,Test 1,At hone,Your Watermark - See Settings
