Photo file Name,Date,Time,Direction,Latitude,Longitude,Position Accuracy,Altitude,Datum,Capture Mode Detail,Project Name,Photo Description,Watermark
Test 1 (2020-01-26 14.39.10)-47,26 Jan 2020,14:39:10,67,47.560308°,-122.252069° ,±26ft,25.595625,WGS 84,Bearing: 67° NE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.39.17)-7,26 Jan 2020,14:39:17,70,47.560293°,-122.252069° ,±26ft,25.724520,WGS 84,Bearing: 70° E,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.39.40)-60,26 Jan 2020,14:39:40,212,47.560315°,-122.251954° ,±26ft,26.170624,WGS 84,Bearing: 212° SW,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.39.47)-28,26 Jan 2020,14:39:47,209,47.560344°,-122.251971° ,±26ft,25.763355,WGS 84,Bearing: 209° SW,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.39.54)-81,26 Jan 2020,14:39:54,268,47.560355°,-122.251950° ,±26ft,25.681108,WGS 84,Bearing: 268° W,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.40.05)-52,26 Jan 2020,14:40:5,4,47.560405°,-122.251910° ,±26ft,25.501606,WGS 84,Bearing: 4° N,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.40.53)-45,26 Jan 2020,14:40:53,280,47.560475°,-122.251813° ,±26ft,25.360388,WGS 84,Bearing: 280° W,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.41.07)-67,26 Jan 2020,14:41:7,285,47.560515°,-122.251845° ,±26ft,24.923004,WGS 84,Bearing: 285° W,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.41.16)-91,26 Jan 2020,14:41:16,331,47.560507°,-122.251839° ,±26ft,24.997715,WGS 84,Bearing: 331° NW,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.41.41)-30,26 Jan 2020,14:41:41,23,47.560556°,-122.251819° ,±26ft,24.685690,WGS 84,Bearing: 23° NE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.41.51)-46,26 Jan 2020,14:41:51,42,47.560567°,-122.251831° ,±26ft,24.669357,WGS 84,Bearing: 42° NE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.41.55)-102,26 Jan 2020,14:41:55,46,47.560559°,-122.251830° ,±26ft,24.693205,WGS 84,Bearing: 46° NE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.41.58)-35,26 Jan 2020,14:41:58,32,47.560558°,-122.251822° ,±26ft,24.738670,WGS 84,Bearing: 32° NE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.42.03)-110,26 Jan 2020,14:42:3,123,47.560553°,-122.251821° ,±26ft,24.742085,WGS 84,Bearing: 123° SE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.42.06)-15,26 Jan 2020,14:42:6,105,47.560543°,-122.251820° ,±26ft,24.814188,WGS 84,Bearing: 105° E,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.42.13)-104,26 Jan 2020,14:42:13,34,47.560529°,-122.251728° ,±26ft,25.214947,WGS 84,Bearing: 34° NE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.42.18)-26,26 Jan 2020,14:42:18,15,47.560531°,-122.251701° ,±26ft,25.351017,WGS 84,Bearing: 15° N,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.42.44)-51,26 Jan 2020,14:42:44,145,47.560445°,-122.251663° ,±26ft,25.969360,WGS 84,Bearing: 145° SE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.43.05)-10,26 Jan 2020,14:43:5,360,47.560395°,-122.251633° ,±26ft,26.584267,WGS 84,Bearing: 360° N,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.43.08)-116,26 Jan 2020,14:43:8,10,47.560397°,-122.251644° ,±26ft,26.516336,WGS 84,Bearing: 10° N,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.43.25)-58,26 Jan 2020,14:43:25,346,47.560409°,-122.251674° ,±26ft,26.348921,WGS 84,Bearing: 346° N,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.43.33)-68,26 Jan 2020,14:43:33,47,47.560406°,-122.251625° ,±26ft,26.526087,WGS 84,Bearing: 47° NE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.43.42)-12,26 Jan 2020,14:43:42,43,47.560401°,-122.251629° ,±26ft,26.531635,WGS 84,Bearing: 43° NE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.43.48)-4,26 Jan 2020,14:43:48,355,47.560387°,-122.251604° ,±26ft,26.751781,WGS 84,Bearing: 355° N,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.43.55)-111,26 Jan 2020,14:43:55,34,47.560416°,-122.251551° ,±26ft,26.732574,WGS 84,Bearing: 34° NE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.44.02)-107,26 Jan 2020,14:44:2,278,47.560429°,-122.251530° ,±26ft,26.728456,WGS 84,Bearing: 278° W,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.44.08)-43,26 Jan 2020,14:44:8,335,47.560431°,-122.251516° ,±39ft,26.750582,WGS 84,Bearing: 335° NW,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.44.11)-108,26 Jan 2020,14:44:11,104,47.560394°,-122.251512° ,±26ft,26.773174,WGS 84,Bearing: 104° E,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.44.46)-17,26 Jan 2020,14:44:46,214,47.560449°,-122.251532° ,±52ft,26.524485,WGS 84,Bearing: 214° SW,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.44.52)-55,26 Jan 2020,14:44:52,248,47.560432°,-122.251514° ,±52ft,26.676340,WGS 84,Bearing: 248° W,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.44.56)-94,26 Jan 2020,14:44:56,206,47.560428°,-122.251508° ,±52ft,26.819601,WGS 84,Bearing: 206° SW,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.45.00)-114,26 Jan 2020,14:45:0,116,47.560441°,-122.251486° ,±52ft,26.795078,WGS 84,Bearing: 116° SE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.47.41)-117,26 Jan 2020,14:47:41,194,47.560297°,-122.251296° ,±19ft,28.510658,WGS 84,Bearing: 194° S,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.47.46)-73,26 Jan 2020,14:47:46,247,47.560306°,-122.251293° ,±26ft,28.467871,WGS 84,Bearing: 247° SW,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.48.15)-72,26 Jan 2020,14:48:15,208,47.560418°,-122.251358° ,±39ft,27.453266,WGS 84,Bearing: 208° SW,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.49.10)-96,26 Jan 2020,14:49:10,213,47.560507°,-122.251306° ,±39ft,26.879065,WGS 84,Bearing: 213° SW,Test 1,At hone,Your Watermark - See Settings
