Photo file Name,Date,Time,Direction,Latitude,Longitude,Position Accuracy,Altitude,Datum,Capture Mode Detail,Project Name,Photo Description,Watermark
Solocator (2019-12-29 11.43.48)-31,29 Dec 2019,11:43:48,76,47°33'41"N,122°15'5"W ,±656ft,13.523549,WGS 84,Bearing: 76° E,,,Your Watermark - See Settings
Solocator (2019-12-29 11.44.36)-46,29 Dec 2019,11:44:36,97,47°33'41"N,122°15'7"W ,±52ft,12.625058,WGS 84,Bearing: 97° E,,,Your Watermark - See Settings
Solocator (2019-12-29 11.44.57)-4,29 Dec 2019,11:44:57,11,47°33'41"N,122°15'7"W ,±52ft,13.357665,WGS 84,Bearing: 11° N,,,Your Watermark - See Settings
Solocator (2019-12-29 11.45.18)-83,29 Dec 2019,11:45:18,60,47°33'41"N,122°15'7"W ,±52ft,12.193812,WGS 84,Bearing: 60° NE,,,Your Watermark - See Settings
Solocator (2019-12-29 11.45.33)-126,29 Dec 2019,11:45:33,123,47°33'40"N,122°15'6"W ,±209ft,16.568354,WGS 84,Bearing: 123° SE,,,Your Watermark - See Settings
Solocator (2019-12-29 11.45.55)-130,29 Dec 2019,11:45:55,113,47°33'41"N,122°15'6"W ,±314ft,51.827309,WGS 84,Bearing: 113° E,,,Your Watermark - See Settings
Solocator (2019-12-29 11.46.18)-150,29 Dec 2019,11:46:18,173,47°33'41"N,122°15'7"W ,±52ft,12.135327,WGS 84,Bearing: 173° S,,,Your Watermark - See Settings
Solocator (2019-12-29 11.46.23)-128,29 Dec 2019,11:46:23,113,47°33'41"N,122°15'7"W ,±78ft,12.223461,WGS 84,Bearing: 113° E,,,Your Watermark - See Settings
Solocator (2019-12-29 11.46.27)-79,29 Dec 2019,11:46:27,119,47°33'41"N,122°15'7"W ,±78ft,12.168058,WGS 84,Bearing: 119° SE,,,Your Watermark - See Settings
Solocator (2019-12-29 11.46.36)-154,29 Dec 2019,11:46:36,25,47°33'41"N,122°15'7"W ,±52ft,12.343424,WGS 84,Bearing: 25° NE,,,Your Watermark - See Settings
Solocator (2019-12-29 11.46.39)-57,29 Dec 2019,11:46:39,358,47°33'41"N,122°15'7"W ,±104ft,12.440314,WGS 84,Bearing: 358° N,,,Your Watermark - See Settings
Solocator (2019-12-29 11.46.59)-137,29 Dec 2019,11:46:59,16,47°33'41"N,122°15'7"W ,±52ft,12.297860,WGS 84,Bearing: 16° N,,,Your Watermark - See Settings
