Photo file Name,Date,Time,Direction,Latitude,Longitude,Position Accuracy,Altitude,Datum,Capture Mode Detail,Project Name,Photo Description,Watermark
Solocator (2020-01-05 11.11.43)-179,05 Jan 2020,11:11:43,4,47.555316,-122.250191 ,±344ft,38.107464,WGS 84,Bearing: 4 N,,,Your Watermark - See Settings
Solocator (2020-01-05 11.11.50)-9,05 Jan 2020,11:11:50,1,47.555319,-122.250113 ,±157ft,37.614674,WGS 84,Bearing: 1 N,,,Your Watermark - See Settings
Solocator (2020-01-05 11.11.56)-167,05 Jan 2020,11:11:56,314,47.555370,-122.250403 ,±39ft,38.192844,WGS 84,Bearing: 314 NW,,,Your Watermark - See Settings
Solocator (2020-01-05 11.12.08)-93,05 Jan 2020,11:12:8,232,47.555546,-122.250257 ,±26ft,36.188385,WGS 84,Bearing: 232 SW,,,Your Watermark - See Settings
Solocator (2020-01-05 11.12.15)-4,05 Jan 2020,11:12:15,228,47.555515,-122.250369 ,±26ft,37.103062,WGS 84,Bearing: 228 SW,,,Your Watermark - See Settings
Solocator (2020-01-05 11.12.19)-46,05 Jan 2020,11:12:19,239,47.555511,-122.250378 ,±26ft,37.120590,WGS 84,Bearing: 239 SW,,,Your Watermark - See Settings
Solocator (2020-01-05 11.12.26)-59,05 Jan 2020,11:12:26,194,47.555481,-122.250415 ,±26ft,37.541088,WGS 84,Bearing: 194 S,,,Your Watermark - See Settings
Solocator (2020-01-05 11.12.31)-61,05 Jan 2020,11:12:31,128,47.555450,-122.250427 ,±26ft,37.609032,WGS 84,Bearing: 128 SE,,,Your Watermark - See Settings
Solocator (2020-01-05 11.12.37)-126,05 Jan 2020,11:12:37,200,47.555480,-122.250449 ,±52ft,37.743046,WGS 84,Bearing: 200 S,,,Your Watermark - See Settings
Solocator (2020-01-05 11.13.27)-148,05 Jan 2020,11:13:27,149,47.555309,-122.250409 ,±52ft,38.132515,WGS 84,Bearing: 149 SE,,,Your Watermark - See Settings
Solocator (2020-01-05 11.13.36)-105,05 Jan 2020,11:13:36,310,47.555266,-122.250403 ,±52ft,38.353352,WGS 84,Bearing: 310 NW,,,Your Watermark - See Settings
Solocator (2020-01-05 11.13.44)-210,05 Jan 2020,11:13:44,323,47.555264,-122.250370 ,±52ft,38.397694,WGS 84,Bearing: 323 NW,,,Your Watermark - See Settings
Solocator (2020-01-05 11.13.54)-85,05 Jan 2020,11:13:54,254,47.555247,-122.250397 ,±52ft,38.464382,WGS 84,Bearing: 254 W,,,Your Watermark - See Settings
Solocator (2020-01-05 11.14.00)-239,05 Jan 2020,11:14:0,183,47.555242,-122.250390 ,±52ft,38.488171,WGS 84,Bearing: 183 S,,,Your Watermark - See Settings
Solocator (2020-01-05 11.14.05)-177,05 Jan 2020,11:14:5,222,47.555248,-122.250505 ,±52ft,38.514397,WGS 84,Bearing: 222 SW,,,Your Watermark - See Settings
Solocator (2020-01-05 11.14.10)-197,05 Jan 2020,11:14:10,318,47.555350,-122.250410 ,±52ft,38.170395,WGS 84,Bearing: 318 NW,,,Your Watermark - See Settings
Solocator (2020-01-05 11.14.15)-158,05 Jan 2020,11:14:15,16,47.555398,-122.250364 ,±52ft,37.787308,WGS 84,Bearing: 16 N,,,Your Watermark - See Settings
Solocator (2020-01-05 11.14.20)-5,05 Jan 2020,11:14:20,331,47.555414,-122.250307 ,±52ft,37.526634,WGS 84,Bearing: 331 NW,,,Your Watermark - See Settings
Solocator (2020-01-05 11.14.26)-49,05 Jan 2020,11:14:26,99,47.555386,-122.250280 ,±52ft,37.485065,WGS 84,Bearing: 99 E,,,Your Watermark - See Settings
Solocator (2020-01-05 11.14.36)-173,05 Jan 2020,11:14:36,312,47.555359,-122.250279 ,±52ft,37.665798,WGS 84,Bearing: 312 NW,,,Your Watermark - See Settings
Solocator (2020-01-05 11.14.42)-229,05 Jan 2020,11:14:42,345,47.555354,-122.250302 ,±52ft,37.803562,WGS 84,Bearing: 345 N,,,Your Watermark - See Settings
Solocator (2020-01-05 11.14.47)-193,05 Jan 2020,11:14:47,17,47.555345,-122.250322 ,±52ft,37.863773,WGS 84,Bearing: 17 N,,,Your Watermark - See Settings
Solocator (2020-01-05 11.14.52)-248,05 Jan 2020,11:14:52,2,47.555342,-122.250320 ,±52ft,37.914551,WGS 84,Bearing: 2 N,,,Your Watermark - See Settings
Solocator (2020-01-05 11.14.58)-246,05 Jan 2020,11:14:58,27,47.555320,-122.250365 ,±52ft,38.035900,WGS 84,Bearing: 27 NE,,,Your Watermark - See Settings
Solocator (2020-01-05 11.15.04)-132,05 Jan 2020,11:15:4,273,47.555353,-122.250324 ,±52ft,37.886551,WGS 84,Bearing: 273 W,,,Your Watermark - See Settings
Solocator (2020-01-05 11.15.10)-29,05 Jan 2020,11:15:10,264,47.555379,-122.250391 ,±52ft,37.910622,WGS 84,Bearing: 264 W,,,Your Watermark - See Settings
Solocator (2020-01-05 11.15.16)-112,05 Jan 2020,11:15:16,266,47.555426,-122.250319 ,±52ft,37.565853,WGS 84,Bearing: 266 W,,,Your Watermark - See Settings
Solocator (2020-01-05 11.15.20)-267,05 Jan 2020,11:15:20,191,47.555349,-122.250377 ,±52ft,37.835480,WGS 84,Bearing: 191 S,,,Your Watermark - See Settings
Solocator (2020-01-05 11.15.27)-228,05 Jan 2020,11:15:27,112,47.555313,-122.250483 ,±52ft,38.225266,WGS 84,Bearing: 112 E,,,Your Watermark - See Settings
Solocator (2020-01-05 11.15.33)-261,05 Jan 2020,11:15:33,114,47.555308,-122.250515 ,±52ft,38.255814,WGS 84,Bearing: 114 SE,,,Your Watermark - See Settings
Solocator (2020-01-05 11.15.36)-230,05 Jan 2020,11:15:36,93,47.555315,-122.250517 ,±52ft,38.253399,WGS 84,Bearing: 93 E,,,Your Watermark - See Settings
Solocator (2020-01-05 11.15.45)-174,05 Jan 2020,11:15:45,197,47.555301,-122.250603 ,±52ft,38.289963,WGS 84,Bearing: 197 S,,,Your Watermark - See Settings
Solocator (2020-01-05 11.15.53)-108,05 Jan 2020,11:15:53,314,47.555316,-122.250554 ,±52ft,38.288956,WGS 84,Bearing: 314 NW,,,Your Watermark - See Settings
Solocator (2020-01-05 11.15.57)-154,05 Jan 2020,11:15:57,266,47.555321,-122.250531 ,±52ft,38.274551,WGS 84,Bearing: 266 W,,,Your Watermark - See Settings
Solocator (2020-01-05 11.16.00)-114,05 Jan 2020,11:16:0,250,47.555320,-122.250515 ,±52ft,38.256538,WGS 84,Bearing: 250 W,,,Your Watermark - See Settings
Solocator (2020-01-05 11.16.04)-31,05 Jan 2020,11:16:4,175,47.555314,-122.250506 ,±52ft,38.248890,WGS 84,Bearing: 175 S,,,Your Watermark - See Settings
Solocator (2020-01-05 11.16.07)-88,05 Jan 2020,11:16:7,164,47.555308,-122.250504 ,±52ft,38.251133,WGS 84,Bearing: 164 S,,,Your Watermark - See Settings
Solocator (2020-01-05 11.16.16)-35,05 Jan 2020,11:16:16,167,47.555293,-122.250562 ,±52ft,38.299416,WGS 84,Bearing: 167 S,,,Your Watermark - See Settings
Solocator (2020-01-05 11.16.20)-129,05 Jan 2020,11:16:20,326,47.555306,-122.250565 ,±52ft,38.294376,WGS 84,Bearing: 326 NW,,,Your Watermark - See Settings
Solocator (2020-01-05 11.16.24)-272,05 Jan 2020,11:16:24,348,47.555320,-122.250554 ,±104ft,38.298214,WGS 84,Bearing: 348 N,,,Your Watermark - See Settings
Solocator (2020-01-05 11.16.29)-170,05 Jan 2020,11:16:29,318,47.555356,-122.250545 ,±104ft,38.274040,WGS 84,Bearing: 318 NW,,,Your Watermark - See Settings
Solocator (2020-01-05 11.16.33)-47,05 Jan 2020,11:16:33,295,47.555375,-122.250526 ,±104ft,38.239529,WGS 84,Bearing: 295 NW,,,Your Watermark - See Settings
Solocator (2020-01-05 11.17.00)-271,05 Jan 2020,11:17:0,219,47.555489,-122.250290 ,±52ft,36.838825,WGS 84,Bearing: 219 SW,,,Your Watermark - See Settings
Solocator (2020-01-05 11.17.04)-21,05 Jan 2020,11:17:4,5,47.555492,-122.250319 ,±52ft,36.904507,WGS 84,Bearing: 5 N,,,Your Watermark - See Settings
Solocator (2020-01-05 11.17.08)-189,05 Jan 2020,11:17:8,133,47.555507,-122.250344 ,±52ft,37.027840,WGS 84,Bearing: 133 SE,,,Your Watermark - See Settings
Solocator (2020-01-05 11.17.12)-141,05 Jan 2020,11:17:12,115,47.555520,-122.250429 ,±52ft,37.333591,WGS 84,Bearing: 115 SE,,,Your Watermark - See Settings
Solocator (2020-01-05 11.17.16)-252,05 Jan 2020,11:17:16,16,47.555543,-122.250430 ,±52ft,37.514488,WGS 84,Bearing: 16 N,,,Your Watermark - See Settings
Solocator (2020-01-05 11.17.22)-101,05 Jan 2020,11:17:22,44,47.555532,-122.250414 ,±52ft,37.479786,WGS 84,Bearing: 44 NE,,,Your Watermark - See Settings
Solocator (2020-01-05 11.17.25)-123,05 Jan 2020,11:17:25,203,47.555538,-122.250425 ,±52ft,37.422104,WGS 84,Bearing: 203 SW,,,Your Watermark - See Settings
Solocator (2020-01-05 11.17.29)-120,05 Jan 2020,11:17:29,261,47.555487,-122.250445 ,±52ft,37.739529,WGS 84,Bearing: 261 W,,,Your Watermark - See Settings
Solocator (2020-01-05 11.17.36)-130,05 Jan 2020,11:17:36,171,47.555462,-122.250439 ,±52ft,37.673363,WGS 84,Bearing: 171 S,,,Your Watermark - See Settings
Solocator (2020-01-05 11.17.39)-13,05 Jan 2020,11:17:39,181,47.555430,-122.250504 ,±52ft,38.070621,WGS 84,Bearing: 181 S,,,Your Watermark - See Settings
Solocator (2020-01-05 11.17.43)-28,05 Jan 2020,11:17:43,246,47.555429,-122.250479 ,±52ft,38.106041,WGS 84,Bearing: 246 SW,,,Your Watermark - See Settings
Solocator (2020-01-05 11.17.50)-86,05 Jan 2020,11:17:50,325,47.555351,-122.250343 ,±52ft,37.856804,WGS 84,Bearing: 325 NW,,,Your Watermark - See Settings
Solocator (2020-01-05 11.17.54)-150,05 Jan 2020,11:17:54,28,47.555329,-122.250282 ,±52ft,37.938107,WGS 84,Bearing: 28 NE,,,Your Watermark - See Settings
Solocator (2020-01-05 11.17.58)-26,05 Jan 2020,11:17:58,201,47.555298,-122.250258 ,±52ft,37.934036,WGS 84,Bearing: 201 S,,,Your Watermark - See Settings
Solocator (2020-01-05 11.18.02)-206,05 Jan 2020,11:18:2,202,47.555357,-122.250291 ,±52ft,37.804031,WGS 84,Bearing: 202 S,,,Your Watermark - See Settings
Solocator (2020-01-05 11.18.09)-231,05 Jan 2020,11:18:9,259,47.555349,-122.250288 ,±52ft,37.810982,WGS 84,Bearing: 259 W,,,Your Watermark - See Settings
Solocator (2020-01-05 11.18.18)-121,05 Jan 2020,11:18:18,182,47.555381,-122.250286 ,±52ft,37.625336,WGS 84,Bearing: 182 S,,,Your Watermark - See Settings
Solocator (2020-01-05 11.18.22)-196,05 Jan 2020,11:18:22,173,47.555380,-122.250316 ,±52ft,37.655785,WGS 84,Bearing: 173 S,,,Your Watermark - See Settings
Solocator (2020-01-05 11.18.26)-52,05 Jan 2020,11:18:26,187,47.555387,-122.250312 ,±52ft,37.652370,WGS 84,Bearing: 187 S,,,Your Watermark - See Settings
Solocator (2020-01-05 11.18.33)-160,05 Jan 2020,11:18:33,181,47.555392,-122.250300 ,±52ft,37.520882,WGS 84,Bearing: 181 S,,,Your Watermark - See Settings
Solocator (2020-01-05 11.18.37)-165,05 Jan 2020,11:18:37,104,47.555395,-122.250352 ,±52ft,37.596695,WGS 84,Bearing: 104 E,,,Your Watermark - See Settings
Solocator (2020-01-05 11.18.42)-253,05 Jan 2020,11:18:42,67,47.555388,-122.250344 ,±52ft,37.697350,WGS 84,Bearing: 67 NE,,,Your Watermark - See Settings
Solocator (2020-01-05 11.18.45)-159,05 Jan 2020,11:18:45,132,47.555389,-122.250381 ,±52ft,37.746593,WGS 84,Bearing: 132 SE,,,Your Watermark - See Settings
Solocator (2020-01-05 11.18.50)-77,05 Jan 2020,11:18:50,222,47.555384,-122.250417 ,±52ft,37.903389,WGS 84,Bearing: 222 SW,,,Your Watermark - See Settings
Solocator (2020-01-05 11.18.55)-131,05 Jan 2020,11:18:55,174,47.555416,-122.250439 ,±52ft,37.836777,WGS 84,Bearing: 174 S,,,Your Watermark - See Settings
Solocator (2020-01-05 11.19.02)-7,05 Jan 2020,11:19:2,103,47.555425,-122.250460 ,±52ft,37.956619,WGS 84,Bearing: 103 E,,,Your Watermark - See Settings
Solocator (2020-01-05 11.19.06)-89,05 Jan 2020,11:19:6,149,47.555423,-122.250470 ,±52ft,38.015095,WGS 84,Bearing: 149 SE,,,Your Watermark - See Settings
Solocator (2020-01-05 11.19.09)-90,05 Jan 2020,11:19:9,143,47.555438,-122.250490 ,±52ft,38.005756,WGS 84,Bearing: 143 SE,,,Your Watermark - See Settings
Solocator (2020-01-05 11.19.13)-185,05 Jan 2020,11:19:13,194,47.555445,-122.250502 ,±52ft,38.063053,WGS 84,Bearing: 194 S,,,Your Watermark - See Settings
Solocator (2020-01-05 11.19.16)-181,05 Jan 2020,11:19:16,179,47.555449,-122.250497 ,±52ft,38.053867,WGS 84,Bearing: 179 S,,,Your Watermark - See Settings
Solocator (2020-01-05 11.19.21)-144,05 Jan 2020,11:19:21,104,47.555449,-122.250501 ,±52ft,38.049080,WGS 84,Bearing: 104 E,,,Your Watermark - See Settings
Solocator (2020-01-05 11.19.24)-254,05 Jan 2020,11:19:24,115,47.555435,-122.250514 ,±52ft,38.066757,WGS 84,Bearing: 115 SE,,,Your Watermark - See Settings
Solocator (2020-01-05 11.19.27)-257,05 Jan 2020,11:19:27,263,47.555441,-122.250488 ,±52ft,38.051430,WGS 84,Bearing: 263 W,,,Your Watermark - See Settings
Solocator (2020-01-05 11.19.32)-70,05 Jan 2020,11:19:32,237,47.555440,-122.250473 ,±52ft,37.977909,WGS 84,Bearing: 237 SW,,,Your Watermark - See Settings
Solocator (2020-01-05 11.19.35)-122,05 Jan 2020,11:19:35,182,47.555436,-122.250443 ,±52ft,37.885830,WGS 84,Bearing: 182 S,,,Your Watermark - See Settings
Solocator (2020-01-05 11.19.41)-23,05 Jan 2020,11:19:41,246,47.555459,-122.250338 ,±52ft,37.425632,WGS 84,Bearing: 246 SW,,,Your Watermark - See Settings
Solocator (2020-01-05 11.19.45)-163,05 Jan 2020,11:19:45,179,47.555450,-122.250372 ,±52ft,37.402367,WGS 84,Bearing: 179 S,,,Your Watermark - See Settings
Solocator (2020-01-05 11.19.48)-22,05 Jan 2020,11:19:48,190,47.555467,-122.250400 ,±52ft,37.533401,WGS 84,Bearing: 190 S,,,Your Watermark - See Settings
Solocator (2020-01-05 11.19.52)-188,05 Jan 2020,11:19:52,104,47.555465,-122.250417 ,±52ft,37.593124,WGS 84,Bearing: 104 E,,,Your Watermark - See Settings
Solocator (2020-01-05 11.19.59)-133,05 Jan 2020,11:19:59,195,47.555464,-122.250436 ,±52ft,37.712002,WGS 84,Bearing: 195 S,,,Your Watermark - See Settings
Solocator (2020-01-05 11.20.08)-227,05 Jan 2020,11:20:8,159,47.555474,-122.250454 ,±52ft,37.768307,WGS 84,Bearing: 159 S,,,Your Watermark - See Settings
Solocator (2020-01-05 11.20.11)-75,05 Jan 2020,11:20:11,139,47.555469,-122.250481 ,±52ft,37.900841,WGS 84,Bearing: 139 SE,,,Your Watermark - See Settings
Solocator (2020-01-05 11.20.17)-162,05 Jan 2020,11:20:17,267,47.555475,-122.250491 ,±52ft,37.961048,WGS 84,Bearing: 267 W,,,Your Watermark - See Settings
Solocator (2020-01-05 11.20.21)-180,05 Jan 2020,11:20:21,258,47.555482,-122.250512 ,±52ft,38.088421,WGS 84,Bearing: 258 W,,,Your Watermark - See Settings
Solocator (2020-01-05 11.20.29)-76,05 Jan 2020,11:20:29,263,47.555512,-122.250506 ,±52ft,38.013397,WGS 84,Bearing: 263 W,,,Your Watermark - See Settings
Solocator (2020-01-05 11.20.33)-221,05 Jan 2020,11:20:33,244,47.555524,-122.250486 ,±52ft,37.892174,WGS 84,Bearing: 244 SW,,,Your Watermark - See Settings
Solocator (2020-01-05 11.20.39)-12,05 Jan 2020,11:20:39,261,47.555527,-122.250499 ,±52ft,37.898487,WGS 84,Bearing: 261 W,,,Your Watermark - See Settings
Solocator (2020-01-05 11.20.47)-74,05 Jan 2020,11:20:47,210,47.555560,-122.250497 ,±52ft,37.856327,WGS 84,Bearing: 210 SW,,,Your Watermark - See Settings
Solocator (2020-01-05 11.20.51)-136,05 Jan 2020,11:20:51,182,47.555569,-122.250533 ,±52ft,37.971081,WGS 84,Bearing: 182 S,,,Your Watermark - See Settings
Solocator (2020-01-05 11.20.54)-172,05 Jan 2020,11:20:54,153,47.555582,-122.250578 ,±52ft,38.036026,WGS 84,Bearing: 153 SE,,,Your Watermark - See Settings
Solocator (2020-01-05 11.20.57)-92,05 Jan 2020,11:20:57,120,47.555586,-122.250593 ,±52ft,37.984104,WGS 84,Bearing: 120 SE,,,Your Watermark - See Settings
Solocator (2020-01-05 11.21.01)-155,05 Jan 2020,11:21:1,180,47.555581,-122.250591 ,±52ft,37.981590,WGS 84,Bearing: 180 S,,,Your Watermark - See Settings
Solocator (2020-01-05 11.21.04)-66,05 Jan 2020,11:21:4,160,47.555576,-122.250629 ,±52ft,37.929905,WGS 84,Bearing: 160 S,,,Your Watermark - See Settings
Solocator (2020-01-05 11.21.08)-205,05 Jan 2020,11:21:8,161,47.555574,-122.250634 ,±52ft,37.923904,WGS 84,Bearing: 161 S,,,Your Watermark - See Settings
