Latitude	Longitude	Elevation
47.52783000	-122.003110	169.0
47.52782000	-122.003160	168.0
47.52781000	-122.003200	168.0
47.52779000	-122.003250	167.0
47.52779000	-122.003290	166.0
47.52778000	-122.003350	165.0
47.52775000	-122.003380	165.0
47.52773000	-122.003410	165.0
47.52770000	-122.003440	165.0
47.52766000	-122.003470	166.0
47.52763000	-122.003490	166.0
47.52760000	-122.003500	167.0
47.52757000	-122.003510	168.0
47.52754000	-122.003530	168.0
47.52751000	-122.003540	169.0
47.52748000	-122.003550	170.0
47.52744000	-122.003560	170.0
47.52742000	-122.003580	170.0
47.52738000	-122.003610	171.0
47.52734000	-122.003650	172.0
47.52731000	-122.003670	172.0
47.52727000	-122.003680	173.0
47.52723000	-122.003690	173.0
47.52721000	-122.003700	174.0
47.52718000	-122.003710	173.0
47.52715000	-122.003740	173.0
47.52711000	-122.003760	173.0
47.52708000	-122.003780	173.0
47.52707000	-122.003820	172.0
47.52705000	-122.003860	172.0
47.52703000	-122.003900	172.0
47.52702000	-122.003950	172.0
47.52703000	-122.004010	172.0
47.52705000	-122.004050	172.0
47.52708000	-122.004020	172.0
47.52709000	-122.003970	172.0
47.52712000	-122.003960	172.0
47.52715000	-122.003940	172.0
47.52714000	-122.003900	172.0
47.52716000	-122.003870	172.0
47.52714000	-122.003910	172.0
47.52712000	-122.003880	172.0
47.52713000	-122.003920	172.0
47.52714000	-122.003960	172.0
47.52713000	-122.003990	172.0
47.52711000	-122.004040	172.0
47.52708000	-122.004050	172.0
47.52705000	-122.004040	172.0
47.52702000	-122.004030	172.0
47.52699000	-122.004030	172.0
47.52696000	-122.004030	172.0
47.52692000	-122.004030	172.0
47.52689000	-122.004030	172.0
47.52685000	-122.004010	172.0
47.52682000	-122.003990	172.0
47.52679000	-122.003990	172.0
47.52676000	-122.003990	173.0
47.52672000	-122.003970	173.0
47.52670000	-122.003970	173.0
47.52666000	-122.003960	173.0
47.52663000	-122.003960	173.0
47.52659000	-122.003960	173.0
47.52656000	-122.003960	173.0
47.52653000	-122.003970	173.0
47.52650000	-122.004000	174.0
47.52647000	-122.004020	174.0
47.52643000	-122.004040	174.0
47.52640000	-122.004060	174.0
47.52637000	-122.004070	174.0
47.52634000	-122.004080	174.0
47.52630000	-122.004080	174.0
47.52627000	-122.004080	174.0
47.52624000	-122.004070	174.0
47.52621000	-122.004090	174.0
47.52620000	-122.004130	174.0
47.52620000	-122.004180	174.0
47.52621000	-122.004230	174.0
47.52621000	-122.004290	174.0
47.52621000	-122.004330	174.0
47.52622000	-122.004370	174.0
47.52622000	-122.004420	174.0
47.52622000	-122.004490	174.0
47.52622000	-122.004540	174.0
47.52622000	-122.004590	174.0
47.52622000	-122.004640	174.0
47.52622000	-122.004680	174.0
47.52623000	-122.004730	174.0
47.52624000	-122.004780	174.0
47.52624000	-122.004820	174.0
47.52624000	-122.004860	174.0
47.52623000	-122.004900	174.0
47.52623000	-122.004960	174.0
47.52624000	-122.005010	175.0
47.52625000	-122.005060	175.0
47.52626000	-122.005110	175.0
47.52627000	-122.005160	175.0
47.52627000	-122.005210	175.0
47.52627000	-122.005260	175.0
47.52627000	-122.005320	176.0
47.52628000	-122.005360	176.0
